gene_id,CK_1,CK_2,TR_1,TR_2,CKK_1,CKK_2,TRR_1,TRR_2
Os01g0159300,2857,3179,3736,3361,3486,3263,1309,1314
Os01g0159400,908,1321,2368,3404,18918,15115,3801,4311
Os01g0159500,0,0,0,0,0,0,0,0
Os01g0159600,0,0,0,0,0,0,0,0
Os01g0159800,62,246,59,417,141,147,10,6
Os01g0160100,192,577,125,540,227,377,115,142
Os01g0160150,0,0,0,0,0,0,0,0
Os01g0160200,0,0,0,0,0,0,0,0
Os01g0160700,8,0,0,0,3,4,3,0
Os01g0160800,55,51,0,14,95,63,387,443
Os01g0161000,0,0,0,0,0,0,0,0
Os01g0161200,5,9,9,0,9,0,4,9
Os01g0161300,20,48,9,23,26,57,34,0
Os01g0162001,4,0,0,5,16,31,4,0
Os01g0162101,0,0,0,0,0,0,0,0
